condition,ifp_tanimoto_lo,ifp_tanimoto_hi,ifp_tanimoto_p,ifp_tversky_lo,ifp_tversky_hi,ifp_tversky_p,hinge_hbond_lo,hinge_hbond_hi,hinge_hbond_p,ifp_score_lo,ifp_score_hi,ifp_score_p,ifp_score_norm_lo,ifp_score_norm_hi,ifp_score_norm_p,valid_lo,valid_hi,valid_p,connected_lo,connected_hi,connected_p,posebusters_valid_lo,posebusters_valid_hi,posebusters_valid_p,qed_lo,qed_hi,qed_p,sa_score_lo,sa_score_hi,sa_score_p,n_heavy_atoms_lo,n_heavy_atoms_hi,n_heavy_atoms_p,vina_score_lo,vina_score_hi,vina_score_p,ligand_efficiency_lo,ligand_efficiency_hi,ligand_efficiency_p
diffsbdd,0.3181818181818182,0.3809523809523809,,0.3529411764705882,0.4117647058823529,,0.7346938775510204,0.8877551020408163,,0.2,0.4,,0.011765,0.019048,,1.0,1.0,,0.8775510204081632,0.9693877551020408,,,,,0.6182828069777822,0.6797046896331745,,7.3920122183593495,7.725776771833075,,21.0,24.0,,,,,,,
"diffsbdd, топ 20%",0.4164086687306501,0.542483660130719,6.153438036769347e-07,0.4411764705882353,0.5588235294117647,3.2860083968076005e-06,1.0,1.0,0.018321887634242646,0.6,0.6,2.9255938345101644e-11,0.027329,0.036932,2.0044997203903357e-08,1.0,1.0,1.0,1.0,1.0,0.1696559267639087,,,,0.6409639579091644,0.752001473463711,0.12400547749108838,6.782393621055643,7.797653500595827,0.07716790153567099,17.0,22.5,0.0884237725192279,,,,,,
