mol_id,stage,reason
2026-09-18-3war-s0-n100-refligand-0038,sanitize,AtomValenceException
2026-09-18-3war-s0-n100-refligand-0070,sanitize,AtomValenceException
2026-09-18-3war-s0-n100-refligand-0075,sanitize,AtomValenceException
