mol_id,ifp_score,ifp_score_norm,rank,selected
2026-09-18-3war-s0-n100-refligand-0081,0.5,0.055556,35,0
2026-09-18-3war-s0-n100-refligand-0082,0.5,0.018519,36,0
2026-09-18-3war-s0-n100-refligand-0083,0.0,0.0,93,0
2026-09-18-3war-s0-n100-refligand-0084,0.25,0.008333,73,0
2026-09-18-3war-s0-n100-refligand-0085,0.0,0.0,94,0
2026-09-18-3war-s0-n100-refligand-0086,0.0,0.0,95,0
2026-09-18-3war-s0-n100-refligand-0087,0.0,0.0,96,0
2026-09-18-3war-s0-n100-refligand-0088,0.25,0.013889,74,0
2026-09-18-3war-s0-n100-refligand-0089,0.5,0.045455,37,0
2026-09-18-3war-s0-n100-refligand-0090,0.75,0.083333,10,1
2026-09-18-3war-s0-n100-refligand-0091,0.25,0.014706,75,0
2026-09-18-3war-s0-n100-refligand-0092,0.0,0.0,97,0
2026-09-18-3war-s0-n100-refligand-0093,0.5,0.045455,38,0
2026-09-18-3war-s0-n100-refligand-0094,0.75,0.083333,11,1
2026-09-18-3war-s0-n100-refligand-0095,0.75,0.0375,12,1
2026-09-18-3war-s0-n100-refligand-0096,0.75,0.0375,13,1
2026-09-18-3war-s0-n100-refligand-0097,0.25,0.013158,76,0
2026-09-18-3war-s0-n100-refligand-0098,0.5,0.03125,39,0
2026-09-18-3war-s0-n100-refligand-0099,0.25,0.014706,77,0
2026-09-18-3war-s0-n100-refligand-0100,0.5,0.035714,40,0
