condition,ifp_tanimoto_lo,ifp_tanimoto_hi,ifp_tanimoto_p,ifp_tversky_lo,ifp_tversky_hi,ifp_tversky_p,hinge_hbond_lo,hinge_hbond_hi,hinge_hbond_p,ifp_score_lo,ifp_score_hi,ifp_score_p,ifp_score_norm_lo,ifp_score_norm_hi,ifp_score_norm_p,valid_lo,valid_hi,valid_p,connected_lo,connected_hi,connected_p,posebusters_valid_lo,posebusters_valid_hi,posebusters_valid_p,qed_lo,qed_hi,qed_p,sa_score_lo,sa_score_hi,sa_score_p,n_heavy_atoms_lo,n_heavy_atoms_hi,n_heavy_atoms_p,vina_score_lo,vina_score_hi,vina_score_p,ligand_efficiency_lo,ligand_efficiency_hi,ligand_efficiency_p
diffsbdd,0.3157894736842105,0.3888888888888889,,0.3529411764705882,0.4117647058823529,,0.7157894736842105,0.8736842105263158,,0.4,0.4,,0.012903,0.017391,,1.0,1.0,,0.9157894736842105,0.9894736842105263,,,,,0.5323853135904216,0.6440417477413259,,7.227584803214567,7.517277454164926,,22.0,25.0,,,,,,,
"diffsbdd, топ 20%",0.4117647058823529,0.5294117647058824,4.424335393653701e-05,0.4117647058823529,0.5294117647058824,4.06836326416622e-05,1.0,1.0,0.015643614223073875,0.6,0.8,8.11299440912766e-11,0.027586,0.033333,2.120701696655762e-08,1.0,1.0,1.0,1.0,1.0,0.3158720391578956,,,,0.5602119167196022,0.6959147740012332,0.4940719803217854,6.96744413015213,7.4838872788905295,0.24294531258435895,18.0,26.0,0.5793465382963341,,,,,,
