mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,42.818,-1.3381,14.216,42.818,-1.3381,14.216
0002,16.29,-1.086,15.47,18.027,-1.2018,10.307
0004,29.648,-1.744,3.51,35.523,-2.0896,3.172
0005,65.016,-1.9702,28.281,65.016,-1.9702,28.281
0009,11.17,-1.0155,2.155,9.307,-0.8461,1.034
0012,61.916,-1.5479,51.091,77.658,-1.9415,51.37
0014,22.299,-0.9291,-7.287,27.498,-1.1458,18.226
0016,81.855,-2.0988,-4.074,81.855,-2.0988,-4.074
0017,15.652,-0.9782,-2.804,16.265,-1.0166,-3.167
0018,38.858,-1.2535,29.429,38.858,-1.2535,29.429
0019,30.668,-1.4604,25.121,30.668,-1.4604,25.121
0020,57.749,-1.6985,38.871,55.589,-1.635,37.988
0021,66.08,-2.065,66.08,71.452,-2.2329,-1.739
0022,8.266,-0.6358,0.741,8.266,-0.6358,0.741
0023,34.8,-1.3385,29.133,34.8,-1.3385,29.133
0025,18.069,-1.0629,11.635,23.016,-1.3539,12.762
0026,20.581,-1.2863,13.708,20.581,-1.2863,13.708
0027,59.219,-1.8506,37.53,63.652,-1.9891,37.202
0030,16.155,-1.2427,8.991,16.155,-1.2427,8.991
0031,25.342,-1.6895,-1.787,22.522,-1.5015,1.699
0032,32.933,-1.1356,32.933,36.768,-1.2679,16.835
0033,65.829,-1.6056,46.675,59.44,-1.4498,45.425
0035,30.984,-1.2394,26.458,38.686,-1.5474,38.686
0037,6.941,-0.5784,-1.541,6.941,-0.5784,-1.541
0038,28.035,-0.8761,27.598,28.035,-0.8761,27.598
0041,50.634,-2.1098,45.925,59.152,-2.4647,33.185
0042,45.755,-1.3457,30.523,71.783,-2.1113,40.972
0043,54.404,-1.4317,46.784,54.404,-1.4317,46.784
0044,42.851,-1.2985,22.436,34.864,-1.0565,23.464
0045,43.696,-1.2485,32.423,44.236,-1.2639,31.738
0047,49.542,-1.4571,37.213,49.542,-1.4571,37.213
0048,38.136,-1.6581,23.407,38.136,-1.6581,23.407
0049,15.171,-1.3792,-1.147,20.439,-1.8581,-1.547
0051,39.683,-1.3228,-5.495,34.606,-1.1535,-4.73
0052,38.42,-1.6704,27.31,40.032,-1.7405,25.753
0053,14.521,-1.2101,7.602,12.934,-1.0778,3.761
0054,29.327,-1.9551,19.995,29.327,-1.9551,19.995
0055,23.227,-1.3663,14.067,30.673,-1.8043,9.872
0059,39.413,-1.4597,34.423,54.752,-2.0279,37.214
0060,19.389,-1.2118,5.59,19.389,-1.2118,5.59
0061,72.453,-2.6834,59.148,72.453,-2.6834,59.148
0062,22.217,-0.8887,19.769,22.217,-0.8887,19.769
0064,27.783,-1.4623,20.099,27.783,-1.4623,20.099
0066,37.43,-1.4396,28.804,50.378,-1.9376,29.016
0067,16.908,-0.9946,12.861,16.908,-0.9946,12.861
0068,44.968,-1.3627,41.367,44.968,-1.3627,41.367
0069,34.314,-1.4298,-4.026,34.314,-1.4298,-4.026
0070,23.85,-1.037,17.486,30.988,-1.3473,17.214
0072,53.738,-2.2391,32.39,53.738,-2.2391,32.39
0073,30.855,-1.3415,26.409,32.686,-1.4211,28.923
0074,32.466,-1.0473,31.335,38.277,-1.2347,38.277
0080,50.645,-1.4068,41.509,50.645,-1.4068,41.509
0081,40.84,-1.3613,37.899,60.392,-2.0131,39.682
0082,35.104,-1.5263,28.654,34.87,-1.5161,28.395
0083,26.443,-1.017,16.587,26.443,-1.017,16.587
0085,30.824,-1.7124,19.236,30.824,-1.7124,19.236
0087,62.928,-1.748,32.286,61.324,-1.7034,38.521
0089,58.667,-2.1729,46.447,62.104,-2.3001,39.566
0090,33.016,-1.3757,30.962,59.013,-2.4589,48.952
0091,18.271,-0.6767,17.922,23.484,-0.8698,18.151
0092,15.16,-0.758,13.883,19.36,-0.968,14.261
0093,46.481,-1.9367,34.675,55.899,-2.3291,33.877
0095,15.411,-0.9632,8.338,15.411,-0.9632,8.338
0097,21.361,-1.5258,-2.97,21.361,-1.5258,-2.97
