mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-23-6tgu-s0-n100-prep-0050,0.823529,0.823529,0.823529,0.823529,1,1,0.0,2.812,2.812,383
2026-08-23-6tgu-s0-n100-prep-0051,0.529412,0.588235,0.5,0.555556,1,1,0.8328,3.0898,3.0749,496
2026-08-23-6tgu-s0-n100-prep-0052,0.764706,0.823529,0.65,0.777778,1,1,0.9403,2.3919,2.7265,353
2026-08-23-6tgu-s0-n100-prep-0053,0.764706,0.882353,0.764706,0.833333,1,1,0.7812,2.8872,2.7915,396
2026-08-23-6tgu-s0-n100-prep-0054,0.529412,0.647059,0.529412,0.647059,0,0,1.1163,3.2597,2.1836,520
2026-08-23-6tgu-s0-n100-prep-0055,0.647059,0.764706,0.647059,0.764706,1,1,0.7621,3.1694,2.6643,411
2026-08-23-6tgu-s0-n100-prep-0056,0.588235,0.764706,0.5,0.684211,1,1,0.4696,2.268,2.101,314
2026-08-23-6tgu-s0-n100-prep-0057,0.823529,0.941176,0.736842,0.888889,1,1,0.5413,2.6667,2.6624,365
2026-08-23-6tgu-s0-n100-prep-0058,0.705882,0.823529,0.6,0.7,1,1,0.7302,2.3676,2.5127,331
2026-08-23-6tgu-s0-n100-prep-0059,0.705882,0.764706,0.705882,0.722222,1,1,0.7716,3.005,2.7097,358
2026-08-23-6tgu-s0-n100-prep-0060,0.705882,0.823529,0.571429,0.777778,1,0,1.0594,2.1766,2.2565,274
2026-08-23-6tgu-s0-n100-prep-0061,0.764706,0.882353,0.722222,0.882353,1,1,1.1287,2.7871,2.2869,352
2026-08-23-6tgu-s0-n100-prep-0062,0.882353,0.882353,0.75,0.75,1,1,0.0,1.7487,1.7487,322
2026-08-23-6tgu-s0-n100-prep-0063,0.705882,0.823529,0.631579,0.823529,1,1,0.9964,2.3657,2.3731,335
2026-08-23-6tgu-s0-n100-prep-0064,0.823529,0.823529,0.538462,0.538462,1,1,0.0,1.4452,1.4452,331
2026-08-23-6tgu-s0-n100-prep-0065,0.647059,0.764706,0.578947,0.684211,1,1,0.73,2.4077,2.3081,334
2026-08-23-6tgu-s0-n100-prep-0066,0.647059,0.705882,0.611111,0.705882,1,1,0.8732,3.0078,2.9682,436
2026-08-23-6tgu-s0-n100-prep-0067,0.764706,0.882353,0.722222,0.833333,1,1,0.642,2.4485,2.3638,316
2026-08-23-6tgu-s0-n100-prep-0068,0.764706,0.823529,0.764706,0.823529,1,1,0.7475,3.0391,2.8068,405
2026-08-23-6tgu-s0-n100-prep-0069,0.764706,0.882353,0.722222,0.833333,1,1,1.1861,2.2075,2.2225,291
2026-08-23-6tgu-s0-n100-prep-0070,0.823529,0.823529,0.636364,0.636364,1,1,0.0,2.782,2.782,345
2026-08-23-6tgu-s0-n100-prep-0071,0.588235,0.823529,0.434783,0.7,1,1,1.1569,2.2937,2.4992,311
2026-08-23-6tgu-s0-n100-prep-0072,0.588235,0.823529,0.526316,0.736842,1,1,0.9972,2.7499,2.4365,395
2026-08-23-6tgu-s0-n100-prep-0073,0.470588,0.647059,0.363636,0.611111,1,1,0.5154,3.0294,2.766,416
2026-08-23-6tgu-s0-n100-prep-0074,0.705882,0.764706,0.6,0.619048,1,1,0.4414,2.1754,2.3581,348
2026-08-23-6tgu-s0-n100-prep-0075,0.764706,0.882353,0.65,0.882353,1,1,0.8557,2.5445,2.6299,311
2026-08-23-6tgu-s0-n100-prep-0076,0.823529,0.941176,0.777778,0.842105,1,1,0.8071,2.472,2.4411,286
2026-08-23-6tgu-s0-n100-prep-0077,0.764706,0.882353,0.541667,0.789474,1,1,0.8601,3.0176,2.1927,325
2026-08-23-6tgu-s0-n100-prep-0078,0.764706,0.882353,0.65,0.833333,1,1,0.9346,2.8065,2.3189,395
2026-08-23-6tgu-s0-n100-prep-0079,0.764706,0.882353,0.684211,0.882353,1,1,1.2174,2.6525,2.3743,330
2026-08-23-6tgu-s0-n100-prep-0080,0.588235,0.705882,0.526316,0.631579,1,1,0.5494,2.6265,2.7217,432
2026-08-23-6tgu-s0-n100-prep-0081,0.705882,0.823529,0.6,0.666667,1,1,0.9918,2.8113,2.4179,395
2026-08-23-6tgu-s0-n100-prep-0082,0.764706,0.823529,0.619048,0.666667,1,1,0.9833,2.3613,2.1826,369
2026-08-23-6tgu-s0-n100-prep-0083,0.764706,0.764706,0.590909,0.590909,1,1,0.0,0.5358,0.5358,328
2026-08-23-6tgu-s0-n100-prep-0084,0.882353,0.882353,0.714286,0.714286,1,1,0.0,2.4046,2.4046,313
2026-08-23-6tgu-s0-n100-prep-0085,0.764706,0.941176,0.590909,0.842105,1,1,1.0869,2.6393,2.5901,353
2026-08-23-6tgu-s0-n100-prep-0086,0.823529,0.823529,0.7,0.7,1,1,0.0,2.7602,2.7602,355
2026-08-23-6tgu-s0-n100-prep-0087,0.823529,0.882353,0.666667,0.681818,1,1,0.6331,2.8997,2.3633,424
2026-08-23-6tgu-s0-n100-prep-0088,0.764706,0.882353,0.764706,0.882353,1,1,0.7978,2.831,2.0513,379
2026-08-23-6tgu-s0-n100-prep-0089,0.764706,0.823529,0.5,0.666667,1,1,1.2287,2.5332,2.3449,277
2026-08-23-6tgu-s0-n100-prep-0090,0.705882,0.764706,0.666667,0.764706,1,1,0.7715,2.8053,2.2927,439
2026-08-23-6tgu-s0-n100-prep-0092,0.823529,0.823529,0.7,0.7,1,1,0.0,2.7015,2.7015,368
2026-08-23-6tgu-s0-n100-prep-0093,0.705882,0.764706,0.545455,0.619048,1,1,0.4687,2.8031,2.7476,306
2026-08-23-6tgu-s0-n100-prep-0094,0.705882,0.823529,0.571429,0.823529,1,1,1.1495,2.7547,2.8034,344
2026-08-23-6tgu-s0-n100-prep-0095,0.705882,0.764706,0.6,0.764706,1,1,1.3945,2.8707,2.6115,399
2026-08-23-6tgu-s0-n100-prep-0096,0.647059,0.764706,0.578947,0.722222,1,1,0.4775,2.4261,2.7446,322
2026-08-23-6tgu-s0-n100-prep-0097,0.823529,0.823529,0.823529,0.823529,1,1,0.0,2.8472,2.8472,359
2026-08-23-6tgu-s0-n100-prep-0098,0.647059,0.823529,0.647059,0.823529,1,1,0.7265,2.9322,2.9197,408
2026-08-23-6tgu-s0-n100-prep-0099,0.588235,0.705882,0.5,0.666667,1,1,0.5422,3.1668,3.0714,359
2026-08-23-6tgu-s0-n100-prep-0100,0.764706,0.764706,0.684211,0.684211,1,1,0.0,2.7265,2.7265,390
