mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-23-6tgu-s0-n100-prep-0043,0.705882,0.823529,0.5,0.666667,1,1,0.685333,0.812966,1.4095,2.2695,2.3452,260
2026-08-23-6tgu-s0-n100-prep-0044,0.647059,0.705882,0.647059,0.705882,1,1,0.647059,0.705882,0.6218,2.9871,2.7671,411
2026-08-23-6tgu-s0-n100-prep-0045,0.764706,0.823529,0.722222,0.777778,1,1,0.764706,0.823529,1.0496,2.8584,2.5248,359
2026-08-23-6tgu-s0-n100-prep-0046,0.647059,0.764706,0.458333,0.65,1,1,0.59024,0.760448,0.949,2.0785,2.3596,161
2026-08-23-6tgu-s0-n100-prep-0047,0.647059,0.705882,0.52381,0.631579,0,0,0.647059,0.705882,0.5216,2.6919,2.9277,382
2026-08-23-6tgu-s0-n100-prep-0048,0.823529,0.882353,0.736842,0.833333,1,1,0.823529,0.882353,0.3507,2.9286,2.8971,305
2026-08-23-6tgu-s0-n100-prep-0049,0.823529,0.882353,0.823529,0.833333,1,1,0.823529,0.882353,0.5355,2.8233,2.698,372
2026-08-23-6tgu-s0-n100-prep-0050,0.823529,0.823529,0.823529,0.823529,1,1,0.823529,0.823529,0.0,2.812,2.812,352
2026-08-23-6tgu-s0-n100-prep-0051,0.529412,0.588235,0.5,0.588235,1,1,0.529412,0.588235,1.2636,3.0898,2.5143,416
2026-08-23-6tgu-s0-n100-prep-0052,0.764706,0.823529,0.65,0.823529,1,1,0.764706,0.823529,1.261,2.3919,2.516,292
2026-08-23-6tgu-s0-n100-prep-0053,0.764706,0.882353,0.764706,0.833333,1,1,0.764706,0.879516,1.3192,2.8872,2.4466,355
2026-08-23-6tgu-s0-n100-prep-0054,0.529412,0.588235,0.529412,0.588235,0,0,0.529412,0.588235,0.327,3.2597,3.3353,472
2026-08-23-6tgu-s0-n100-prep-0055,0.647059,0.764706,0.647059,0.722222,1,1,0.647059,0.764706,0.945,3.1694,2.7755,425
2026-08-23-6tgu-s0-n100-prep-0056,0.588235,0.764706,0.5,0.684211,1,1,0.571286,0.764706,1.0225,2.268,2.5146,374
2026-08-23-6tgu-s0-n100-prep-0057,0.823529,0.941176,0.736842,0.888889,1,1,0.823529,0.941176,0.608,2.6667,2.7489,328
2026-08-23-6tgu-s0-n100-prep-0058,0.705882,0.823529,0.6,0.666667,1,1,0.695142,0.823529,1.1225,2.3676,2.3472,294
2026-08-23-6tgu-s0-n100-prep-0059,0.705882,0.764706,0.705882,0.722222,1,1,0.705882,0.764706,0.5211,3.005,2.8393,416
2026-08-23-6tgu-s0-n100-prep-0060,0.705882,0.823529,0.571429,0.777778,1,0,0.676042,0.823529,1.4462,2.1766,2.6443,298
2026-08-23-6tgu-s0-n100-prep-0061,0.764706,0.882353,0.722222,0.882353,1,1,0.764706,0.856896,1.1295,2.7871,2.3516,419
2026-08-23-6tgu-s0-n100-prep-0062,0.882353,0.882353,0.75,0.789474,1,1,0.807192,0.882353,0.753,1.7487,2.449,353
2026-08-23-6tgu-s0-n100-prep-0063,0.705882,0.882353,0.631579,0.882353,1,1,0.705882,0.882353,1.4816,2.3657,2.6559,339
2026-08-23-6tgu-s0-n100-prep-0064,0.823529,0.823529,0.538462,0.608696,1,1,0.72263,0.823529,0.8118,1.4452,2.3956,308
2026-08-23-6tgu-s0-n100-prep-0065,0.647059,0.764706,0.578947,0.722222,1,1,0.647059,0.764706,0.9342,2.4077,2.5773,332
2026-08-23-6tgu-s0-n100-prep-0066,0.647059,0.705882,0.611111,0.666667,1,1,0.647059,0.705882,0.7553,3.0078,2.952,448
2026-08-23-6tgu-s0-n100-prep-0067,0.764706,0.882353,0.722222,0.882353,1,1,0.764706,0.882353,0.8401,2.4485,2.813,356
2026-08-23-6tgu-s0-n100-prep-0068,0.764706,0.823529,0.764706,0.736842,1,1,0.764706,0.823529,1.484,3.0391,2.7819,391
2026-08-23-6tgu-s0-n100-prep-0069,0.764706,0.882353,0.722222,0.882353,1,1,0.749208,0.882353,0.9878,2.2075,2.3635,300
2026-08-23-6tgu-s0-n100-prep-0070,0.823529,0.823529,0.636364,0.636364,1,1,0.823529,0.823529,0.0,2.782,2.782,357
2026-08-23-6tgu-s0-n100-prep-0071,0.588235,0.764706,0.434783,0.590909,1,1,0.573855,0.764706,0.7431,2.2937,2.5857,305
2026-08-23-6tgu-s0-n100-prep-0072,0.588235,0.882353,0.526316,0.789474,1,1,0.588235,0.882353,1.0373,2.7499,2.8278,325
2026-08-23-6tgu-s0-n100-prep-0073,0.470588,0.705882,0.363636,0.666667,1,1,0.470588,0.704749,1.1135,3.0294,2.4637,461
2026-08-23-6tgu-s0-n100-prep-0074,0.705882,0.764706,0.6,0.65,1,1,0.675924,0.756592,1.1542,2.1754,2.394,293
2026-08-23-6tgu-s0-n100-prep-0075,0.764706,0.941176,0.65,0.941176,1,1,0.764706,0.907828,1.4356,2.5445,2.029,330
2026-08-23-6tgu-s0-n100-prep-0076,0.823529,0.941176,0.777778,0.941176,1,1,0.823529,0.941176,0.6744,2.472,2.7172,310
2026-08-23-6tgu-s0-n100-prep-0077,0.764706,0.882353,0.541667,0.75,1,1,0.764706,0.882353,0.7643,3.0176,2.4905,317
2026-08-23-6tgu-s0-n100-prep-0078,0.764706,0.882353,0.65,0.789474,1,1,0.764706,0.877586,0.7621,2.8065,2.3898,357
2026-08-23-6tgu-s0-n100-prep-0079,0.764706,0.882353,0.684211,0.882353,1,1,0.764706,0.882353,1.1353,2.6525,2.5882,348
2026-08-23-6tgu-s0-n100-prep-0080,0.588235,0.705882,0.526316,0.631579,1,1,0.588235,0.705882,0.5494,2.6265,2.7217,352
2026-08-23-6tgu-s0-n100-prep-0081,0.705882,0.764706,0.6,0.684211,1,1,0.705882,0.764706,0.561,2.8113,2.6052,409
2026-08-23-6tgu-s0-n100-prep-0082,0.764706,0.764706,0.619048,0.619048,1,1,0.764706,0.764706,0.0,2.3613,2.3613,349
2026-08-23-6tgu-s0-n100-prep-0083,0.764706,0.764706,0.590909,0.52,1,1,-0.771608,0.193414,1.4737,0.5358,1.3838,156
2026-08-23-6tgu-s0-n100-prep-0084,0.882353,0.882353,0.714286,0.714286,1,1,0.882353,0.882353,0.0,2.4046,2.4046,306
2026-08-23-6tgu-s0-n100-prep-0085,0.764706,0.941176,0.590909,0.842105,1,1,0.764706,0.941176,1.1889,2.6393,2.7772,328
2026-08-23-6tgu-s0-n100-prep-0086,0.823529,0.823529,0.7,0.7,1,1,0.823529,0.823529,0.0,2.7602,2.7602,331
2026-08-23-6tgu-s0-n100-prep-0087,0.823529,0.882353,0.666667,0.75,1,1,0.823529,0.876796,0.781,2.8997,2.4944,371
2026-08-23-6tgu-s0-n100-prep-0088,0.764706,0.882353,0.764706,0.882353,1,1,0.764706,0.882353,0.7614,2.831,2.855,388
2026-08-23-6tgu-s0-n100-prep-0089,0.764706,0.823529,0.5,0.736842,1,1,0.764706,0.823529,1.1211,2.5332,2.4778,238
2026-08-23-6tgu-s0-n100-prep-0090,0.705882,0.764706,0.666667,0.722222,1,1,0.705882,0.764706,0.7248,2.8053,2.4511,373
2026-08-23-6tgu-s0-n100-prep-0092,0.823529,0.823529,0.7,0.7,1,1,0.823529,0.823529,0.0,2.7015,2.7015,364
2026-08-23-6tgu-s0-n100-prep-0093,0.705882,0.823529,0.545455,0.636364,1,1,0.705882,0.823529,0.753,2.8031,2.485,332
2026-08-23-6tgu-s0-n100-prep-0094,0.705882,0.764706,0.571429,0.619048,1,1,0.705882,0.764706,0.4068,2.7547,2.9158,363
2026-08-23-6tgu-s0-n100-prep-0095,0.705882,0.705882,0.6,0.6,1,1,0.705882,0.705882,0.0,2.8707,2.8707,359
2026-08-23-6tgu-s0-n100-prep-0096,0.647059,0.764706,0.578947,0.684211,1,1,0.647059,0.764706,0.8873,2.4261,2.4261,322
2026-08-23-6tgu-s0-n100-prep-0097,0.823529,0.823529,0.823529,0.823529,1,1,0.823529,0.823529,0.0,2.8472,2.8472,431
2026-08-23-6tgu-s0-n100-prep-0098,0.647059,0.823529,0.647059,0.823529,1,1,0.647059,0.823529,0.7265,2.9322,2.9197,388
2026-08-23-6tgu-s0-n100-prep-0099,0.588235,0.705882,0.5,0.705882,1,1,0.588235,0.705882,0.9029,3.1668,2.949,407
2026-08-23-6tgu-s0-n100-prep-0100,0.764706,0.764706,0.684211,0.684211,1,1,0.764706,0.764706,0.0,2.7265,2.7265,418
