mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-24-6tgu-s0-n100-seed1-0044,0.941176,0.941176,0.727273,0.727273,1,1,0.294118,0.294118,0.0,2.6523,2.6523,341
2026-08-24-6tgu-s0-n100-seed1-0045,0.823529,0.823529,0.608696,0.608696,1,1,0.294118,0.294118,0.0,2.4733,2.4733,272
2026-08-24-6tgu-s0-n100-seed1-0046,0.764706,0.647059,0.684211,0.52381,1,1,0.235294,0.294118,1.066,2.845,2.525,432
2026-08-24-6tgu-s0-n100-seed1-0047,0.764706,0.588235,0.65,0.454545,1,1,0.235294,0.294118,0.549,3.2557,2.9691,454
2026-08-24-6tgu-s0-n100-seed1-0048,0.705882,0.588235,0.666667,0.526316,1,1,0.235294,0.294118,1.0323,2.7819,2.5247,394
2026-08-24-6tgu-s0-n100-seed1-0049,0.823529,0.823529,0.666667,0.666667,1,1,0.294118,0.294118,0.0,2.627,2.627,250
2026-08-24-6tgu-s0-n100-seed1-0050,0.647059,0.647059,0.647059,0.647059,1,1,0.235294,0.235294,0.0,2.9746,2.9746,445
2026-08-24-6tgu-s0-n100-seed1-0051,0.705882,0.588235,0.666667,0.454545,1,1,0.235294,0.294118,0.9362,2.873,2.8022,371
2026-08-24-6tgu-s0-n100-seed1-0052,0.588235,0.588235,0.555556,0.526316,1,1,0.235294,0.294118,0.5879,3.0044,2.6768,427
2026-08-24-6tgu-s0-n100-seed1-0053,0.705882,0.647059,0.666667,0.578947,1,1,0.235294,0.294118,0.616,2.9719,2.4794,392
2026-08-24-6tgu-s0-n100-seed1-0054,0.588235,0.588235,0.4,0.4,1,1,0.294118,0.294118,0.0,2.5615,2.5615,300
2026-08-24-6tgu-s0-n100-seed1-0055,0.705882,0.705882,0.545455,0.545455,1,1,0.294118,0.294118,0.0,2.8081,2.8081,275
2026-08-24-6tgu-s0-n100-seed1-0056,0.823529,0.823529,0.823529,0.777778,1,1,0.235294,0.294118,0.4136,2.742,2.81,369
2026-08-24-6tgu-s0-n100-seed1-0057,0.411765,0.411765,0.411765,0.368421,0,0,0.176471,0.294118,1.0877,3.2804,3.1405,489
