mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-24-6tgu-s0-n100-0001,1.0,1.0,1.0,1.0,1,1,0.0,2.6598,2.6598,415
2026-08-24-6tgu-s0-n100-0002,0.941176,1.0,0.941176,1.0,1,1,0.631,2.751,2.8759,362
2026-08-24-6tgu-s0-n100-0003,0.941176,1.0,0.888889,1.0,1,1,0.6159,2.8419,2.8916,415
2026-08-24-6tgu-s0-n100-0004,1.0,1.0,1.0,1.0,1,1,0.0,2.4946,2.4946,404
2026-08-24-6tgu-s0-n100-0005,0.882353,1.0,0.833333,1.0,1,1,0.3553,2.7907,2.9287,452
2026-08-24-6tgu-s0-n100-0006,0.882353,1.0,0.833333,0.944444,1,1,0.8378,2.6264,2.6455,392
2026-08-24-6tgu-s0-n100-0007,0.941176,1.0,0.941176,0.944444,1,1,0.3412,2.402,2.5762,412
2026-08-24-6tgu-s0-n100-0008,0.882353,1.0,0.882353,0.944444,1,1,0.8766,1.9735,2.3997,403
2026-08-24-6tgu-s0-n100-0009,0.882353,1.0,0.833333,0.944444,1,1,0.8638,2.9941,2.7318,364
2026-08-24-6tgu-s0-n100-0010,0.882353,1.0,0.833333,1.0,1,1,0.464,2.8676,2.9563,449
2026-08-24-6tgu-s0-n100-0011,0.882353,1.0,0.882353,1.0,1,1,1.5903,1.5909,2.631,466
2026-08-24-6tgu-s0-n100-0012,0.941176,1.0,0.941176,1.0,1,1,0.5285,1.7221,2.4872,420
2026-08-24-6tgu-s0-n100-0013,0.882353,1.0,0.882353,1.0,1,1,0.8461,2.629,2.5257,421
2026-08-24-6tgu-s0-n100-0014,0.823529,1.0,0.823529,1.0,1,1,0.778,2.6613,2.28,370
2026-08-24-6tgu-s0-n100-0015,0.705882,1.0,0.705882,1.0,1,1,1.0691,1.5544,2.5999,445
2026-08-24-6tgu-s0-n100-0016,0.647059,1.0,0.647059,0.944444,1,1,1.396,1.3808,2.5405,483
2026-08-24-6tgu-s0-n100-0017,0.705882,1.0,0.705882,1.0,1,1,0.8888,1.8357,1.9805,419
2026-08-24-6tgu-s0-n100-0018,0.764706,1.0,0.722222,0.944444,1,1,1.0713,2.4334,2.7092,423
2026-08-24-6tgu-s0-n100-0019,0.941176,1.0,0.941176,0.944444,1,1,1.1129,1.7771,2.8222,404
2026-08-24-6tgu-s0-n100-0020,0.941176,1.0,0.941176,1.0,1,1,0.9283,1.6739,1.9251,416
2026-08-24-6tgu-s0-n100-0021,0.529412,1.0,0.529412,1.0,1,1,1.1797,1.4561,2.5246,476
2026-08-24-6tgu-s0-n100-0022,0.882353,0.941176,0.882353,0.941176,1,1,0.5674,1.4982,2.0122,429
2026-08-24-6tgu-s0-n100-0023,0.705882,1.0,0.666667,0.894737,1,1,1.1444,2.074,2.7963,471
2026-08-24-6tgu-s0-n100-0024,0.764706,1.0,0.764706,1.0,1,1,1.2705,1.4713,1.6199,423
2026-08-24-6tgu-s0-n100-0025,0.705882,1.0,0.705882,0.944444,1,1,0.9519,2.1327,2.8529,369
2026-08-24-6tgu-s0-n100-0026,0.941176,1.0,0.941176,1.0,1,1,1.01,1.9002,2.2496,306
2026-08-24-6tgu-s0-n100-0027,0.764706,1.0,0.722222,0.944444,1,1,1.1645,2.2811,2.3734,424
2026-08-24-6tgu-s0-n100-0028,0.882353,1.0,0.882353,1.0,1,1,0.5848,1.6375,1.9623,361
2026-08-24-6tgu-s0-n100-0029,0.705882,1.0,0.666667,0.944444,1,1,1.0131,2.2001,2.5863,407
2026-08-24-6tgu-s0-n100-0030,0.764706,1.0,0.764706,1.0,1,1,1.705,1.613,1.836,408
2026-08-24-6tgu-s0-n100-0031,0.647059,1.0,0.611111,0.944444,0,1,1.6448,1.7136,2.8748,428
