mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-18-3war-s0-n100-0054,0.636364,0.727273,0.368421,0.444444,1,1,0.8593,1.2931,1.7616,367
2026-09-18-3war-s0-n100-0055,0.636364,0.636364,0.388889,0.388889,0,0,0.0,1.6485,1.6485,168
2026-09-18-3war-s0-n100-0056,0.727273,0.909091,0.533333,0.625,0,1,1.4456,1.477,1.9045,191
2026-09-18-3war-s0-n100-0057,0.909091,0.909091,0.526316,0.526316,1,1,0.0,1.3767,1.3767,186
2026-09-18-3war-s0-n100-0058,0.818182,0.818182,0.391304,0.391304,1,1,0.0,0.6414,0.6414,312
2026-09-18-3war-s0-n100-0059,0.818182,0.818182,0.45,0.45,1,1,0.0,1.0536,1.0536,299
2026-09-18-3war-s0-n100-0060,0.727273,0.818182,0.363636,0.45,1,1,1.0808,1.2382,1.3304,248
2026-09-18-3war-s0-n100-0061,0.818182,0.818182,0.529412,0.529412,1,1,0.0,1.183,1.183,349
2026-09-18-3war-s0-n100-0062,0.727273,0.727273,0.333333,0.333333,0,0,0.0,0.3398,0.3398,413
2026-09-18-3war-s0-n100-0063,0.636364,0.636364,0.333333,0.333333,1,1,0.0,1.7475,1.7475,161
2026-09-18-3war-s0-n100-0064,0.636364,0.818182,0.259259,0.36,0,1,0.3938,1.197,1.2308,194
2026-09-18-3war-s0-n100-0065,0.636364,0.636364,0.368421,0.368421,0,0,0.0,0.6971,0.6971,391
2026-09-18-3war-s0-n100-0066,0.636364,0.636364,0.304348,0.304348,1,1,0.0,1.4636,1.4636,199
2026-09-18-3war-s0-n100-0067,0.727273,0.818182,0.32,0.375,1,1,0.978,0.7085,0.9051,424
2026-09-18-3war-s0-n100-0068,0.636364,0.636364,0.4375,0.4375,1,1,0.0,1.3911,1.3911,375
2026-09-18-3war-s0-n100-0069,0.818182,0.818182,0.375,0.375,1,1,0.0,1.2279,1.2279,235
2026-09-18-3war-s0-n100-0071,0.636364,0.636364,0.388889,0.388889,0,0,0.0,1.4623,1.4623,238
2026-09-18-3war-s0-n100-0072,0.545455,0.636364,0.333333,0.368421,0,0,0.5185,1.6485,1.6763,150
2026-09-18-3war-s0-n100-0073,0.727273,0.909091,0.470588,0.625,1,1,0.748,1.8245,2.0382,209
2026-09-18-3war-s0-n100-0074,0.636364,0.636364,0.318182,0.318182,0,0,0.0,0.7175,0.7175,351
2026-09-18-3war-s0-n100-0075,0.636364,0.727273,0.333333,0.380952,0,0,1.1161,1.188,1.5069,356
2026-09-18-3war-s0-n100-0076,0.636364,0.727273,0.318182,0.347826,1,1,0.5449,1.2753,1.7043,263
2026-09-18-3war-s0-n100-0077,0.818182,0.909091,0.375,0.416667,1,1,1.1925,0.7742,0.8232,158
2026-09-18-3war-s0-n100-0078,0.818182,0.909091,0.5,0.555556,1,1,0.8507,1.3991,1.8185,279
2026-09-18-3war-s0-n100-0079,0.545455,0.636364,0.24,0.304348,1,0,0.4198,1.1093,1.4908,204
2026-09-18-3war-s0-n100-0080,1.0,1.0,0.37931,0.37931,1,1,0.0,0.8861,0.8861,260
2026-09-18-3war-s0-n100-0082,0.727273,0.909091,0.380952,0.526316,1,1,0.87,0.5008,0.8387,351
2026-09-18-3war-s0-n100-0083,0.636364,0.636364,0.269231,0.269231,1,1,0.0,0.8561,0.8561,306
2026-09-18-3war-s0-n100-0084,0.636364,0.727273,0.333333,0.347826,1,1,0.891,0.8971,1.2332,281
2026-09-18-3war-s0-n100-0085,0.636364,0.727273,0.35,0.4,1,1,0.4921,1.8095,1.8671,76
2026-09-18-3war-s0-n100-0086,0.727273,0.727273,0.4,0.4,1,1,0.0,1.0844,1.0844,264
2026-09-18-3war-s0-n100-0087,0.636364,0.636364,0.318182,0.318182,1,1,0.0,1.5583,1.5583,201
2026-09-18-3war-s0-n100-0088,0.727273,0.727273,0.444444,0.444444,0,0,0.0,1.1157,1.1157,394
2026-09-18-3war-s0-n100-0089,0.727273,0.818182,0.333333,0.346154,1,1,0.7292,0.6032,0.6593,269
2026-09-18-3war-s0-n100-0090,0.727273,0.818182,0.258065,0.333333,1,1,0.6452,0.5547,0.7956,271
2026-09-18-3war-s0-n100-0091,0.545455,0.818182,0.214286,0.36,1,1,0.9985,0.6783,0.7411,238
2026-09-18-3war-s0-n100-0092,0.636364,0.727273,0.35,0.380952,0,1,1.3335,1.3874,1.5839,201
2026-09-18-3war-s0-n100-0093,0.636364,0.818182,0.35,0.529412,1,1,1.295,1.4427,1.6731,228
2026-09-18-3war-s0-n100-0094,0.727273,0.818182,0.421053,0.5,0,1,0.8725,1.2774,1.3812,278
2026-09-18-3war-s0-n100-0095,0.636364,0.727273,0.35,0.421053,1,1,0.4449,1.8115,1.8748,140
2026-09-18-3war-s0-n100-0096,0.727273,0.818182,0.4,0.529412,0,1,0.9645,0.2494,0.7437,455
2026-09-18-3war-s0-n100-0097,0.727273,0.818182,0.333333,0.391304,0,1,0.377,0.8072,0.8519,271
2026-09-18-3war-s0-n100-0098,0.636364,0.636364,0.4375,0.4375,0,0,0.0,1.6393,1.6393,245
2026-09-18-3war-s0-n100-0099,0.818182,0.909091,0.473684,0.555556,1,1,0.3845,1.6569,1.901,176
2026-09-18-3war-s0-n100-0100,0.636364,0.636364,0.5,0.5,0,0,0.0,1.5932,1.5932,287
