mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-24-6tgu-s0-n100-seed1-0044,0.941176,0.941176,0.727273,0.727273,1,1,0.941176,0.941176,0.0,2.6523,2.6523,283
2026-08-24-6tgu-s0-n100-seed1-0045,0.823529,0.882353,0.608696,0.714286,1,1,0.823529,0.882353,0.8555,2.4733,2.4947,260
2026-08-24-6tgu-s0-n100-seed1-0046,0.764706,0.882353,0.684211,0.714286,1,1,0.764706,0.882353,1.1277,2.845,2.5508,373
2026-08-24-6tgu-s0-n100-seed1-0047,0.764706,0.823529,0.65,0.823529,1,1,0.764706,0.781378,1.4031,3.2557,2.5407,405
2026-08-24-6tgu-s0-n100-seed1-0048,0.705882,0.823529,0.666667,0.777778,1,1,0.705882,0.823529,0.7658,2.7819,2.7023,360
2026-08-24-6tgu-s0-n100-seed1-0049,0.823529,0.882353,0.666667,0.75,1,1,0.823529,0.882353,0.9886,2.627,2.5185,239
2026-08-24-6tgu-s0-n100-seed1-0050,0.647059,0.705882,0.647059,0.705882,1,1,0.647059,0.705882,0.4083,2.9746,2.571,396
2026-08-24-6tgu-s0-n100-seed1-0051,0.705882,0.823529,0.666667,0.736842,1,1,0.705882,0.823529,0.9595,2.873,2.8562,346
2026-08-24-6tgu-s0-n100-seed1-0052,0.588235,0.705882,0.555556,0.631579,1,1,0.588235,0.705882,0.5973,3.0044,2.7446,380
2026-08-24-6tgu-s0-n100-seed1-0053,0.705882,0.705882,0.666667,0.666667,1,1,0.705882,0.705882,0.0,2.9719,2.9719,387
2026-08-24-6tgu-s0-n100-seed1-0054,0.588235,0.764706,0.4,0.590909,1,1,0.588235,0.764706,0.7941,2.5615,2.5841,266
2026-08-24-6tgu-s0-n100-seed1-0055,0.705882,0.764706,0.545455,0.65,1,0,0.705882,0.764706,0.7152,2.8081,2.4761,272
2026-08-24-6tgu-s0-n100-seed1-0056,0.823529,0.823529,0.823529,0.823529,1,1,0.823529,0.823529,0.0,2.742,2.742,335
2026-08-24-6tgu-s0-n100-seed1-0057,0.411765,0.529412,0.411765,0.529412,0,0,0.411765,0.529412,1.3438,3.2804,2.6972,466
2026-08-24-6tgu-s0-n100-seed1-0058,0.705882,0.764706,0.571429,0.619048,1,1,0.685432,0.764706,0.7169,2.3966,2.4045,207
2026-08-24-6tgu-s0-n100-seed1-0060,0.764706,0.823529,0.619048,0.7,1,1,0.764706,0.823529,1.143,2.4951,2.6773,278
2026-08-24-6tgu-s0-n100-seed1-0061,0.764706,0.823529,0.684211,0.736842,1,1,0.764706,0.823529,0.7428,2.7555,2.4659,337
2026-08-24-6tgu-s0-n100-seed1-0062,0.705882,0.764706,0.666667,0.722222,1,1,0.705882,0.764706,0.4432,2.8853,2.7938,394
2026-08-24-6tgu-s0-n100-seed1-0063,0.705882,0.882353,0.571429,0.833333,1,1,0.705882,0.882353,1.4906,2.883,2.7347,335
2026-08-24-6tgu-s0-n100-seed1-0064,0.882353,0.941176,0.714286,0.761905,1,1,0.882353,0.941176,0.6598,2.6429,2.5324,282
2026-08-24-6tgu-s0-n100-seed1-0065,0.705882,0.882353,0.545455,0.681818,1,1,0.705882,0.882353,0.9264,2.6809,2.7811,232
2026-08-24-6tgu-s0-n100-seed1-0066,0.764706,0.823529,0.65,0.777778,1,1,0.764706,0.823529,0.7524,2.852,2.6789,287
2026-08-24-6tgu-s0-n100-seed1-0067,0.705882,0.764706,0.5,0.541667,1,1,0.705882,0.764706,0.2685,2.74,2.5883,228
2026-08-24-6tgu-s0-n100-seed1-0068,0.764706,0.823529,0.565217,0.736842,1,1,0.694033,0.823529,0.7792,2.2212,2.4852,195
2026-08-24-6tgu-s0-n100-seed1-0069,0.647059,0.647059,0.647059,0.647059,1,1,0.647059,0.647059,0.0,3.0755,3.0755,463
2026-08-24-6tgu-s0-n100-seed1-0070,0.647059,0.705882,0.647059,0.705882,1,1,0.647059,0.705882,0.4533,2.9057,2.716,383
2026-08-24-6tgu-s0-n100-seed1-0071,0.764706,0.764706,0.619048,0.722222,1,1,0.251557,0.764706,0.9083,1.3362,2.3863,243
