run_id,mol_id,score_all7,score_scoring6,tanimoto,key_hbond,n_heavy
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0051,0.705882,0.4,0.666667,1,24
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0052,0.588235,0.2,0.555556,1,18
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0053,0.705882,0.4,0.666667,1,17
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0054,0.588235,0.2,0.4,1,25
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0055,0.705882,0.2,0.545455,0,26
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0056,0.823529,0.4,0.823529,1,25
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0057,0.411765,0.0,0.411765,0,10
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0058,0.705882,0.4,0.571429,1,27
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0060,0.764706,0.6,0.619048,1,22
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0061,0.764706,0.6,0.684211,1,20
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0062,0.705882,0.6,0.666667,1,13
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0063,0.705882,0.2,0.571429,1,25
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0064,0.882353,0.8,0.714286,1,26
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0065,0.705882,0.0,0.545455,0,33
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0066,0.764706,0.4,0.65,1,26
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0067,0.705882,0.4,0.5,1,20
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0068,0.764706,0.6,0.565217,1,33
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0069,0.647059,0.4,0.647059,1,11
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0070,0.647059,0.4,0.647059,1,16
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0071,0.764706,0.4,0.619048,1,29
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0072,0.764706,0.4,0.65,1,23
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0073,0.705882,0.6,0.666667,1,15
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0074,0.764706,0.4,0.565217,0,30
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0075,0.647059,0.4,0.578947,1,19
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0076,0.705882,0.6,0.631579,1,16
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0077,0.882353,0.6,0.681818,1,31
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0078,0.764706,0.4,0.619048,1,26
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0080,0.764706,0.6,0.65,1,24
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0081,0.823529,0.4,0.7,1,28
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0082,0.823529,0.4,0.5,1,57
