mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-23-6tgu-s0-n100-prep-0043,0.705882,0.823529,0.5,0.608696,1,1,0.876427,0.942323,1.4967,2.2695,2.1477,272
2026-08-23-6tgu-s0-n100-prep-0044,0.647059,0.764706,0.647059,0.764706,1,1,0.860497,0.921962,1.3349,2.9871,2.9022,359
2026-08-23-6tgu-s0-n100-prep-0045,0.764706,0.764706,0.722222,0.565217,1,1,0.89605,0.974553,1.4173,2.8584,2.1653,354
2026-08-23-6tgu-s0-n100-prep-0046,0.647059,0.764706,0.458333,0.5,1,1,0.882745,0.960714,1.3063,2.0785,2.166,162
2026-08-23-6tgu-s0-n100-prep-0047,0.647059,0.705882,0.52381,0.6,0,1,0.87759,0.939615,0.6959,2.6919,2.5848,354
2026-08-23-6tgu-s0-n100-prep-0048,0.823529,0.882353,0.736842,0.789474,1,1,0.987242,0.987857,0.5803,2.9286,2.6326,352
2026-08-23-6tgu-s0-n100-prep-0049,0.823529,0.882353,0.823529,0.833333,1,1,0.870602,0.935882,0.6721,2.8233,2.7715,381
2026-08-23-6tgu-s0-n100-prep-0050,0.823529,0.823529,0.823529,0.823529,1,1,0.987242,0.987242,0.0,2.812,2.812,409
2026-08-23-6tgu-s0-n100-prep-0051,0.529412,0.588235,0.5,0.555556,1,1,0.599035,0.633972,0.8131,3.0898,3.1324,448
2026-08-23-6tgu-s0-n100-prep-0052,0.764706,0.823529,0.65,0.777778,1,1,0.925216,0.987242,0.7241,2.3919,2.1467,294
2026-08-23-6tgu-s0-n100-prep-0053,0.764706,0.882353,0.764706,0.833333,1,1,0.827706,0.955012,0.9918,2.8872,2.4428,410
2026-08-23-6tgu-s0-n100-prep-0054,0.529412,0.647059,0.529412,0.647059,0,0,0.785782,0.874335,1.0921,3.2597,2.2074,478
2026-08-23-6tgu-s0-n100-prep-0055,0.647059,0.705882,0.647059,0.705882,1,1,0.800563,0.884837,1.1102,3.1694,2.8779,460
2026-08-23-6tgu-s0-n100-prep-0056,0.588235,0.764706,0.5,0.65,1,1,0.729691,0.897526,0.5862,2.268,2.5024,372
2026-08-23-6tgu-s0-n100-prep-0057,0.823529,0.941176,0.736842,0.888889,1,1,0.870602,0.997908,0.4804,2.6667,2.5079,340
2026-08-23-6tgu-s0-n100-prep-0058,0.705882,0.823529,0.6,0.736842,1,1,0.912527,0.987242,0.7543,2.3676,2.2857,300
2026-08-23-6tgu-s0-n100-prep-0059,0.705882,0.764706,0.705882,0.764706,1,1,0.835501,0.921962,0.7941,3.005,2.4094,401
2026-08-23-6tgu-s0-n100-prep-0060,0.705882,0.823529,0.571429,0.777778,1,0,0.876427,0.942323,1.2258,2.1766,2.3088,305
2026-08-23-6tgu-s0-n100-prep-0061,0.764706,0.764706,0.722222,0.722222,1,1,0.905485,0.905485,0.0,2.7871,2.7871,384
2026-08-23-6tgu-s0-n100-prep-0062,0.882353,0.823529,0.75,0.666667,1,1,0.932628,0.970765,0.9708,1.7487,2.0304,307
2026-08-23-6tgu-s0-n100-prep-0063,0.705882,0.764706,0.631579,0.684211,1,1,0.909272,0.950117,0.9875,2.3657,2.0457,374
2026-08-23-6tgu-s0-n100-prep-0064,0.823529,0.823529,0.538462,0.608696,1,1,0.976645,0.987242,0.9488,1.4452,2.0454,332
2026-08-23-6tgu-s0-n100-prep-0065,0.647059,0.764706,0.578947,0.722222,1,1,0.847247,0.921962,1.2927,2.4077,2.3855,359
2026-08-23-6tgu-s0-n100-prep-0066,0.647059,0.705882,0.611111,0.705882,1,1,0.800563,0.835501,0.5851,3.0078,3.0235,415
