mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0002,31.803,-1.1358,-0.846,30.558,-1.0914,23.481
0003,40.861,-1.5716,20.438,36.266,-1.3948,18.852
0005,55.201,-2.0445,22.327,56.126,-2.0787,-4.0
0006,41.015,-1.6406,-3.251,41.015,-1.6406,-3.251
0007,42.993,-1.5923,11.987,53.15,-1.9685,-6.234
0008,25.991,-0.9997,19.311,25.991,-0.9997,19.311
0009,33.05,-1.2241,27.949,35.642,-1.3201,27.742
0010,34.572,-1.2804,26.317,40.325,-1.4935,23.142
0013,31.442,-0.9528,25.679,37.431,-1.1343,16.8
0015,33.193,-1.2294,26.164,33.193,-1.2294,26.164
0017,40.897,-1.4102,31.494,40.14,-1.3841,24.913
0019,34.337,-1.1446,20.662,37.926,-1.2642,18.432
0022,30.605,-1.2242,18.411,29.567,-1.1827,18.699
0023,42.444,-1.6325,30.504,48.457,-1.8637,23.53
0025,24.044,-1.4144,13.225,21.124,-1.2426,-2.695
0028,48.543,-1.7337,35.727,51.951,-1.8554,10.972
0030,46.417,-1.6578,23.814,52.413,-1.8719,-2.047
0031,23.127,-0.8895,17.959,29.811,-1.1466,17.409
0032,46.283,-1.596,12.916,50.938,-1.7565,20.688
0033,72.662,-2.5951,44.706,72.662,-2.5951,44.706
0043,44.688,-1.596,20.249,41.273,-1.474,21.587
0044,35.763,-1.0837,20.16,40.081,-1.2146,19.329
0045,32.349,-0.9243,-4.931,37.813,-1.0804,-5.018
0054,53.526,-2.0587,34.699,38.313,-1.4736,30.258
0057,38.594,-1.5438,-2.615,45.413,-1.8165,-2.988
0059,34.909,-1.2929,26.544,41.603,-1.5409,26.312
0061,69.871,-2.5878,32.144,76.485,-2.8328,-5.15
0062,48.855,-1.8094,32.002,46.863,-1.7357,31.57
0064,46.895,-1.954,-7.741,48.492,-2.0205,2.495
0068,44.936,-1.3617,35.386,49.609,-1.5033,33.556
0069,59.283,-2.0442,33.613,55.67,-1.9197,-1.34
0070,41.912,-1.612,28.092,41.864,-1.6102,28.489
0075,24.112,-0.9645,22.84,28.547,-1.1419,23.59
0076,38.015,-1.5206,21.819,40.099,-1.604,21.838
0083,32.834,-1.2161,23.274,29.092,-1.0775,-6.333
0084,31.385,-1.2071,28.135,32.848,-1.2634,-2.02
0085,40.669,-1.4024,-5.562,36.105,-1.245,-3.823
0087,36.223,-1.3932,17.062,34.064,-1.3102,13.269
0090,78.41,-2.9041,25.902,53.793,-1.9923,26.264
0097,22.45,-1.3206,0.649,19.731,-1.1606,-1.595
