mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-18-6fnk-s0-n100-refligand-0038,0.5,0.714286,0.5,0.714286,1,1,0.5,0.714286,0.6882,3.2227,2.2856,440
2026-09-18-6fnk-s0-n100-refligand-0039,0.642857,0.928571,0.473684,0.684211,1,1,0.642857,0.928571,1.0264,2.5159,2.2107,316
2026-09-18-6fnk-s0-n100-refligand-0040,0.785714,0.785714,0.578947,0.578947,1,1,0.785714,0.785714,0.0,2.3862,2.3862,349
2026-09-18-6fnk-s0-n100-refligand-0041,0.714286,0.857143,0.625,0.75,1,1,0.714286,0.857143,0.7589,2.6702,2.6988,372
2026-09-18-6fnk-s0-n100-refligand-0042,0.642857,0.785714,0.529412,0.647059,0,1,0.642857,0.785714,1.0623,2.5491,2.4322,336
2026-09-18-6fnk-s0-n100-refligand-0043,0.642857,0.785714,0.409091,0.44,1,1,0.642857,0.785714,0.7827,2.5598,2.6382,362
2026-09-18-6fnk-s0-n100-refligand-0044,0.5,0.714286,0.5,0.714286,0,1,0.5,0.714286,1.0376,3.5242,2.7988,422
2026-09-18-6fnk-s0-n100-refligand-0045,0.571429,0.714286,0.347826,0.434783,1,1,0.571429,0.714286,0.8392,0.9816,1.4399,353
2026-09-18-6fnk-s0-n100-refligand-0046,0.357143,0.642857,0.333333,0.642857,1,1,0.357143,0.642857,0.9082,3.1377,2.86,495
2026-09-18-6fnk-s0-n100-refligand-0047,0.5,0.714286,0.5,0.714286,0,1,0.5,0.714286,1.0934,3.2963,2.8784,380
2026-09-18-6fnk-s0-n100-refligand-0048,0.571429,0.785714,0.571429,0.733333,1,1,0.571429,0.785714,1.1239,2.6284,2.5509,367
2026-09-18-6fnk-s0-n100-refligand-0049,0.642857,0.857143,0.529412,0.705882,0,1,0.642857,0.857143,1.1378,2.3791,2.5333,351
2026-09-18-6fnk-s0-n100-refligand-0050,0.571429,0.642857,0.571429,0.6,1,1,0.571429,0.642857,0.9077,2.6721,2.3056,395
2026-09-18-6fnk-s0-n100-refligand-0051,0.428571,0.642857,0.4,0.6,0,0,0.428571,0.642857,1.3265,2.9344,2.3231,448
2026-09-18-6fnk-s0-n100-refligand-0052,0.357143,0.571429,0.357143,0.571429,1,1,0.357143,0.571429,1.3112,2.8419,2.4876,436
2026-09-18-6fnk-s0-n100-refligand-0053,0.5,0.714286,0.333333,0.5,1,1,0.5,0.714286,0.7489,2.6908,2.4029,263
2026-09-18-6fnk-s0-n100-refligand-0054,0.428571,0.714286,0.428571,0.714286,1,1,0.428571,0.714286,1.4974,3.0903,2.2956,405
2026-09-18-6fnk-s0-n100-refligand-0055,0.357143,0.571429,0.3125,0.5,1,0,0.357143,0.571429,1.2444,3.1581,2.5042,412
2026-09-18-6fnk-s0-n100-refligand-0056,0.571429,0.642857,0.571429,0.642857,1,1,0.571429,0.642857,0.7581,2.8198,2.0806,458
2026-09-18-6fnk-s0-n100-refligand-0057,0.714286,0.785714,0.588235,0.647059,1,1,0.714286,0.785714,0.5456,2.7923,2.8952,355
