run_id,source,top_fraction,n_selected,distinct_scores,score_at_cut,ties_at_cut,metric,aggregation,value,iqr_low,iqr_high,ci_low,ci_high
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.2,19,2,0.6,20,ifp_score,distribution,0.6,0.6,0.8,0.6,0.8
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.2,19,2,0.6,20,ifp_score_norm,distribution,0.030769,0.0274295,0.033333,0.027586,0.033333
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.2,19,2,0.6,20,valid,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.2,19,2,0.6,20,connected,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.2,19,2,0.6,20,uniqueness,set,1.0,,,,
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.2,19,2,0.6,20,qed,distribution,0.628651167774768,0.5179483446031502,0.7183403277449671,0.5602119167196022,0.6959147740012332
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.2,19,2,0.6,20,sa_score,distribution,7.256615416503578,6.883708861049002,7.537315402774519,6.96744413015213,7.4838872788905295
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.2,19,2,0.6,20,n_heavy_atoms,distribution,23.0,18.0,26.0,18.0,26.0
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.2,19,2,0.6,20,diversity,set,0.8902147648532438,,,,
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.1,10,2,0.6,20,ifp_tanimoto,distribution,0.5147058823529411,0.4583333333333333,0.5789473684210527,0.4444444444444444,0.5835913312693499
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.1,10,2,0.6,20,ifp_tversky,distribution,0.5294117647058824,0.48529411764705876,0.6323529411764706,0.4705882352941176,0.6470588235294118
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.1,10,2,0.6,20,hinge_hbond,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.1,10,2,0.6,20,ifp_score,distribution,0.8,0.6,0.8,0.6,0.8
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.1,10,2,0.6,20,ifp_score_norm,distribution,0.030769,0.02783225,0.032692,0.027586,0.033333
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.1,10,2,0.6,20,valid,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.1,10,2,0.6,20,connected,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.1,10,2,0.6,20,uniqueness,set,1.0,,,,
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.1,10,2,0.6,20,qed,distribution,0.6001552207637457,0.5615565267428199,0.6551835426266731,0.5342272630974827,0.697441845724075
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.1,10,2,0.6,20,sa_score,distribution,7.306134413659268,6.996183949129239,7.483603440685024,6.886029663457014,7.4838872788905295
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.1,10,2,0.6,20,n_heavy_atoms,distribution,25.0,22.25,26.0,20.5,27.0
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.1,10,2,0.6,20,diversity,set,0.8883552819717698,,,,
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.05,5,1,0.8,6,ifp_tanimoto,distribution,0.5789473684210527,0.5294117647058824,0.5789473684210527,0.5,0.6111111111111112
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.05,5,1,0.8,6,ifp_tversky,distribution,0.6470588235294118,0.5294117647058824,0.6470588235294118,0.5294117647058824,0.6470588235294118
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.05,5,1,0.8,6,hinge_hbond,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.05,5,1,0.8,6,ifp_score,distribution,0.8,0.8,0.8,0.8,0.8
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.05,5,1,0.8,6,ifp_score_norm,distribution,0.030769,0.028571,0.030769,0.027586,0.030769
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.05,5,1,0.8,6,valid,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.05,5,1,0.8,6,connected,share,1.0,,,1.0,1.0
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.05,5,1,0.8,6,uniqueness,set,1.0,,,,
2026-08-24-6tgu-s0-n100-seed1,diffsbdd,0.05,5,1,0.8,6,qed,distribution,0.5602119167196022,0.4756847724866981,0.5655903568124726,0.1998422574891172,0.6555387868490811
