mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-23-6tgu-s0-n100-prep-0044,0.647059,0.764706,0.647059,0.722222,1,1,0.647059,0.764706,1.6174,2.9871,2.3583,434
2026-08-23-6tgu-s0-n100-prep-0045,0.764706,0.823529,0.722222,0.666667,1,1,0.764706,0.823529,1.6638,2.8584,2.0142,334
2026-08-23-6tgu-s0-n100-prep-0046,0.647059,0.823529,0.458333,0.736842,1,1,0.647059,0.823529,1.9314,2.0785,2.0642,191
2026-08-23-6tgu-s0-n100-prep-0047,0.647059,0.705882,0.52381,0.666667,0,0,0.647059,0.705882,0.6632,2.6919,2.8326,455
2026-08-23-6tgu-s0-n100-prep-0048,0.823529,0.882353,0.736842,0.75,1,1,0.823529,0.882353,0.6952,2.9286,2.6625,402
2026-08-23-6tgu-s0-n100-prep-0049,0.823529,0.823529,0.823529,0.823529,1,1,0.823529,0.823529,0.0,2.8233,2.8233,376
2026-08-23-6tgu-s0-n100-prep-0050,0.823529,0.823529,0.823529,0.823529,1,1,0.823529,0.823529,0.0,2.812,2.812,419
2026-08-23-6tgu-s0-n100-prep-0051,0.529412,0.529412,0.5,0.5,1,1,0.529412,0.529412,0.0,3.0898,3.0898,514
2026-08-23-6tgu-s0-n100-prep-0052,0.764706,0.823529,0.65,0.823529,1,1,0.764706,0.823529,1.3774,2.3919,2.5645,368
2026-08-23-6tgu-s0-n100-prep-0053,0.764706,0.882353,0.764706,0.882353,1,1,0.764706,0.882353,1.1073,2.8872,2.1018,422
2026-08-23-6tgu-s0-n100-prep-0054,0.529412,0.588235,0.529412,0.588235,0,0,0.529412,0.588235,0.7915,3.2597,3.2386,603
2026-08-23-6tgu-s0-n100-prep-0055,0.647059,0.764706,0.647059,0.764706,1,1,0.647059,0.764706,0.9946,3.1694,2.7781,436
2026-08-23-6tgu-s0-n100-prep-0056,0.588235,0.764706,0.5,0.722222,1,1,0.588235,0.764706,0.9637,2.268,2.2859,422
