target,measurement,variant,metric,value,unit,measured_utc,source,notes
2qoc,klifs_rules,all,reference_bits,12,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
2qoc,klifs_rules,all,shared_bits,12,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
2yex,klifs_rules,all,reference_bits,17,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
2yex,klifs_rules,all,shared_bits,17,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
3bhy,klifs_rules,all,reference_bits,14,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
3bhy,klifs_rules,all,shared_bits,14,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
3war,calibration_smoke,explicit,bits_common,8,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,explicit,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,explicit,bits_ours,8,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,explicit,bits_reference,11,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,explicit,gross_failures,0,,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke,explicit,tanimoto_all,0.727,,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,explicit,tanimoto_scoring,1.000,,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,implicit-prolif,bits_common,6,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,implicit-prolif,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,implicit-prolif,bits_ours,6,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,implicit-prolif,bits_reference,11,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,implicit-prolif,tanimoto_all,0.545,,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,implicit-prolif,tanimoto_scoring,0.500,,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke_by_type,explicit:ACC,bits_common,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ACC,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ACC,bits_missed,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ACC,bits_ours,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ACC,bits_reference,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:DON,bits_common,2,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:DON,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:DON,bits_missed,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:DON,bits_ours,2,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:DON,bits_reference,2,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-E,bits_common,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-E,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-E,bits_missed,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-E,bits_ours,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-E,bits_reference,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-F,bits_common,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-F,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-F,bits_missed,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-F,bits_ours,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-F,bits_reference,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:HYD,bits_common,4,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:HYD,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:HYD,bits_missed,3,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:HYD,bits_ours,4,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:HYD,bits_reference,7,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ION+,bits_common,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ION+,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ION+,bits_missed,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ION+,bits_ours,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ION+,bits_reference,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ION-,bits_common,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ION-,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ION-,bits_missed,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ION-,bits_ours,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ION-,bits_reference,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7,ligand_efficiency_median,0.277,ккал/моль,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand --poses results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7,molecules,94,,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand --poses results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7,positive_energy,14,поз,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand --poses results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7,vina_min_improved,16,молекул,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7,vina_min_median,-6.755,ккал/моль,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand --poses results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7,vina_min_wilcoxon_p,3.357e-05,,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand,парный двусторонний тест против исходных молекул
3war,docking,2026-09-18-3war-s0-n100-refligand:all7,vina_score_improved,1,молекул,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7,vina_score_median,-4.668,ккал/моль,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand --poses results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7,vina_score_wilcoxon_p,1.282e-12,,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand,парный двусторонний тест против исходных молекул
3war,docking,2026-09-18-3war-s0-n100-refligand:all7-clash,ligand_efficiency_median,0.339,ккал/моль,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand --poses results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7-clash,molecules,94,,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand --poses results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7-clash,positive_energy,6,поз,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand --poses results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7-clash,vina_min_improved,25,молекул,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7-clash,vina_min_median,-6.931,ккал/моль,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand --poses results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7-clash,vina_min_wilcoxon_p,1.565e-02,,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand,парный двусторонний тест против исходных молекул
3war,docking,2026-09-18-3war-s0-n100-refligand:all7-clash,vina_score_improved,7,молекул,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7-clash,vina_score_median,-4.955,ккал/моль,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand --poses results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf,
3war,docking,2026-09-18-3war-s0-n100-refligand:all7-clash,vina_score_wilcoxon_p,5.427e-10,,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand,парный двусторонний тест против исходных молекул
3war,docking,2026-09-18-3war-s0-n100-refligand:source,ligand_efficiency_median,0.420,ккал/моль,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand,
3war,docking,2026-09-18-3war-s0-n100-refligand:source,molecules,94,,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand,
3war,docking,2026-09-18-3war-s0-n100-refligand:source,positive_energy,2,поз,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand,
3war,docking,2026-09-18-3war-s0-n100-refligand:source,vina_min_median,-6.937,ккал/моль,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand,
3war,docking,2026-09-18-3war-s0-n100-refligand:source,vina_score_median,-6.576,ккал/моль,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand,
3war,docking,crystal,vina_score_median,-5.413,ккал/моль,2026-09-18,python scripts/score_docking.py --run runs/2026-09-18-3war-s0-n100-refligand,кристаллический лиганд пакета мишени: калибровка шкалы
3war,klifs_rules,all,reference_bits,11,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
3war,klifs_rules,all,shared_bits,11,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
3war,physics,2026-09-18-3war-s0-n100-refligand:all7,all_atoms_connected,0.969,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7,aromatic_ring_flatness,1.000,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7,bond_angles,0.763,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7,bond_lengths,0.753,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7,double_bond_flatness,0.990,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7,internal_energy,0.859,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7,internal_steric_clash,0.938,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7,minimum_distance_to_protein,0.691,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7,molecules,97,,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7,sanitization,1.000,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7,valid_all,0.495,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7,volume_overlap_with_protein,0.969,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7-clash,all_atoms_connected,0.969,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7-clash,aromatic_ring_flatness,1.000,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7-clash,bond_angles,0.763,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7-clash,bond_lengths,0.753,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7-clash,double_bond_flatness,0.990,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7-clash,internal_energy,0.859,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7-clash,internal_steric_clash,0.938,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7-clash,minimum_distance_to_protein,0.928,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7-clash,molecules,97,,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7-clash,sanitization,1.000,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7-clash,valid_all,0.608,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:all7-clash,volume_overlap_with_protein,1.000,доля,2026-09-18,python scripts/check_physics.py --sdf results/pose_optimization-2026-09-18-3war-s0-n100-refligand-all7-clash.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:source,all_atoms_connected,0.969,доля,2026-09-18,python scripts/check_physics.py --sdf runs/2026-09-18-3war-s0-n100-refligand/molecules.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:source,aromatic_ring_flatness,1.000,доля,2026-09-18,python scripts/check_physics.py --sdf runs/2026-09-18-3war-s0-n100-refligand/molecules.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:source,bond_angles,0.763,доля,2026-09-18,python scripts/check_physics.py --sdf runs/2026-09-18-3war-s0-n100-refligand/molecules.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:source,bond_lengths,0.753,доля,2026-09-18,python scripts/check_physics.py --sdf runs/2026-09-18-3war-s0-n100-refligand/molecules.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:source,double_bond_flatness,0.990,доля,2026-09-18,python scripts/check_physics.py --sdf runs/2026-09-18-3war-s0-n100-refligand/molecules.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:source,internal_energy,0.859,доля,2026-09-18,python scripts/check_physics.py --sdf runs/2026-09-18-3war-s0-n100-refligand/molecules.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:source,internal_steric_clash,0.938,доля,2026-09-18,python scripts/check_physics.py --sdf runs/2026-09-18-3war-s0-n100-refligand/molecules.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:source,minimum_distance_to_protein,0.866,доля,2026-09-18,python scripts/check_physics.py --sdf runs/2026-09-18-3war-s0-n100-refligand/molecules.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:source,molecules,97,,2026-09-18,python scripts/check_physics.py --sdf runs/2026-09-18-3war-s0-n100-refligand/molecules.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:source,sanitization,1.000,доля,2026-09-18,python scripts/check_physics.py --sdf runs/2026-09-18-3war-s0-n100-refligand/molecules.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:source,valid_all,0.619,доля,2026-09-18,python scripts/check_physics.py --sdf runs/2026-09-18-3war-s0-n100-refligand/molecules.sdf --target data/targets/3war/target.json,
3war,physics,2026-09-18-3war-s0-n100-refligand:source,volume_overlap_with_protein,0.990,доля,2026-09-18,python scripts/check_physics.py --sdf runs/2026-09-18-3war-s0-n100-refligand/molecules.sdf --target data/targets/3war/target.json,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7,improved,69,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7,min_distance_after_median,2.622,A,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7,molecules,97,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7,objective_after,0.864,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7,objective_before,0.772,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7,rmsd_shift_median,0.527,A,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7,score_after,0.864,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7,score_before,0.772,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7,tanimoto_after_median,0.714,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7,tanimoto_before_median,0.600,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-clash,improved,65,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-clash,min_distance_after_median,2.787,A,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-clash,molecules,97,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-clash,objective_after,0.848,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-clash,objective_before,0.696,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-clash,rmsd_shift_median,0.559,A,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-clash,score_after,0.854,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-clash,score_before,0.772,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-clash,tanimoto_after_median,0.667,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-clash,tanimoto_before_median,0.600,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-control,improved,2,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,отрицательный контроль: позиции эталона перемешаны
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-control,min_distance_after_median,2.850,A,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,отрицательный контроль: позиции эталона перемешаны
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-control,molecules,97,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,отрицательный контроль: позиции эталона перемешаны
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-control,objective_after,0.182,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,отрицательный контроль: позиции эталона перемешаны
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-control,objective_before,0.178,,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,отрицательный контроль: позиции эталона перемешаны
3war,pose_optimization,2026-09-18-3war-s0-n100-refligand:all7-control,rmsd_shift_median,0.000,A,2026-09-18,python scripts/optimize_poses.py --run runs/2026-09-18-3war-s0-n100-refligand --steps 1000 --max-rmsd 1.5,отрицательный контроль: позиции эталона перемешаны
