condition,ifp_tanimoto_lo,ifp_tanimoto_hi,ifp_tanimoto_p,ifp_tversky_lo,ifp_tversky_hi,ifp_tversky_p,hinge_hbond_lo,hinge_hbond_hi,hinge_hbond_p,ifp_score_lo,ifp_score_hi,ifp_score_p,ifp_score_norm_lo,ifp_score_norm_hi,ifp_score_norm_p,valid_lo,valid_hi,valid_p,connected_lo,connected_hi,connected_p,posebusters_valid_lo,posebusters_valid_hi,posebusters_valid_p,qed_lo,qed_hi,qed_p,sa_score_lo,sa_score_hi,sa_score_p,n_heavy_atoms_lo,n_heavy_atoms_hi,n_heavy_atoms_p,vina_score_lo,vina_score_hi,vina_score_p,ligand_efficiency_lo,ligand_efficiency_hi,ligand_efficiency_p
local-poses,0.3636363636363636,0.4166666666666667,,0.3636363636363636,0.4545454545454545,,0.3894736842105263,0.5894736842105263,,0.25,0.5,,0.027778,0.055556,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
"local-poses, топ 20%",0.5454545454545454,0.7272727272727273,1.406152947909387e-10,0.5454545454545454,0.7272727272727273,8.979754742327136e-11,1.0,1.0,9.90040453176783e-07,0.75,1.0,3.588543277342654e-12,0.083333,0.111111,3.588543277342654e-12,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
