mol_id,ifp_score,ifp_score_norm,rank,selected
2026-09-18-3war-s0-n100-refligand-seed1-0070,0.25,0.015625,66,0
2026-09-18-3war-s0-n100-refligand-seed1-0071,0.5,0.041667,38,0
2026-09-18-3war-s0-n100-refligand-seed1-0072,0.75,0.0375,11,1
2026-09-18-3war-s0-n100-refligand-seed1-0073,0.75,0.05,12,1
2026-09-18-3war-s0-n100-refligand-seed1-0074,0.0,0.0,93,0
2026-09-18-3war-s0-n100-refligand-seed1-0075,0.5,0.026316,39,0
2026-09-18-3war-s0-n100-refligand-seed1-0076,0.5,0.03125,40,0
2026-09-18-3war-s0-n100-refligand-seed1-0077,0.0,0.0,94,0
2026-09-18-3war-s0-n100-refligand-seed1-0078,0.5,0.045455,41,0
2026-09-18-3war-s0-n100-refligand-seed1-0079,0.5,0.018519,42,0
2026-09-18-3war-s0-n100-refligand-seed1-0080,0.0,0.0,95,0
2026-09-18-3war-s0-n100-refligand-seed1-0081,0.0,0.0,96,0
2026-09-18-3war-s0-n100-refligand-seed1-0082,0.0,0.0,97,0
2026-09-18-3war-s0-n100-refligand-seed1-0083,0.25,0.022727,67,0
2026-09-18-3war-s0-n100-refligand-seed1-0084,0.25,0.009259,68,0
2026-09-18-3war-s0-n100-refligand-seed1-0085,0.25,0.008333,69,0
2026-09-18-3war-s0-n100-refligand-seed1-0086,0.25,0.014706,70,0
2026-09-18-3war-s0-n100-refligand-seed1-0087,0.5,0.038462,43,0
2026-09-18-3war-s0-n100-refligand-seed1-0088,0.0,0.0,98,0
2026-09-18-3war-s0-n100-refligand-seed1-0089,0.25,0.013158,71,0
2026-09-18-3war-s0-n100-refligand-seed1-0090,0.25,0.015625,72,0
2026-09-18-3war-s0-n100-refligand-seed1-0091,0.75,0.125,13,1
2026-09-18-3war-s0-n100-refligand-seed1-0092,0.25,0.009259,73,0
2026-09-18-3war-s0-n100-refligand-seed1-0093,0.0,0.0,99,0
2026-09-18-3war-s0-n100-refligand-seed1-0094,0.5,0.045455,44,0
2026-09-18-3war-s0-n100-refligand-seed1-0095,0.25,0.035714,74,0
2026-09-18-3war-s0-n100-refligand-seed1-0096,0.0,0.0,100,0
2026-09-18-3war-s0-n100-refligand-seed1-0097,0.25,0.010417,75,0
2026-09-18-3war-s0-n100-refligand-seed1-0098,0.5,0.021739,45,0
2026-09-18-3war-s0-n100-refligand-seed1-0099,0.5,0.018519,46,0
2026-09-18-3war-s0-n100-refligand-seed1-0100,0.75,0.057692,14,1
