condition,ifp_tanimoto_lo,ifp_tanimoto_hi,ifp_tanimoto_p,ifp_tversky_lo,ifp_tversky_hi,ifp_tversky_p,hinge_hbond_lo,hinge_hbond_hi,hinge_hbond_p,ifp_score_lo,ifp_score_hi,ifp_score_p,ifp_score_norm_lo,ifp_score_norm_hi,ifp_score_norm_p,valid_lo,valid_hi,valid_p,connected_lo,connected_hi,connected_p,posebusters_valid_lo,posebusters_valid_hi,posebusters_valid_p,qed_lo,qed_hi,qed_p,sa_score_lo,sa_score_hi,sa_score_p,n_heavy_atoms_lo,n_heavy_atoms_hi,n_heavy_atoms_p,vina_score_lo,vina_score_hi,vina_score_p,ligand_efficiency_lo,ligand_efficiency_hi,ligand_efficiency_p
local-poses,0.4117647058823529,0.4705882352941176,,0.4117647058823529,0.4705882352941176,,0.30975000000000025,0.5,,0.2,0.4,,0.008696,0.017391,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
"local-poses, топ 20%",0.5882352941176471,0.6568627450980392,5.893593054607983e-11,0.5882352941176471,0.6764705882352942,5.301402635210807e-11,0.75,1.0,3.927336121671589e-07,0.8,0.8,6.97857865829896e-12,0.034783,0.034783,6.97857865829896e-12,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
