rule,reproduced,extra,reference_total,recall,precision
любой углерод,2721,0,2832,0.9608,1.0000
углерод и сера,2746,0,2832,0.9696,1.0000
углерод и галогены,2797,0,2832,0.9876,1.0000
"углерод, сера, фтор",2757,0,2832,0.9735,1.0000
"углерод, сера, хлор",2789,0,2832,0.9848,1.0000
"углерод, сера, галогены",2823,0,2832,0.9968,1.0000
любой тяжёлый атом,2832,810,2832,1.0000,0.7776
