rule,reproduced,extra,reference_total,recall,precision
любой углерод,139,0,143,0.9720,1.0000
углерод и сера,140,0,143,0.9790,1.0000
углерод и галогены,142,0,143,0.9930,1.0000
"углерод, сера, фтор",140,0,143,0.9790,1.0000
"углерод, сера, хлор",143,0,143,1.0000,1.0000
"углерод, сера, галогены",143,0,143,1.0000,1.0000
любой тяжёлый атом,143,52,143,1.0000,0.7333
