rule,reproduced,extra,reference_total,recall,precision
любой углерод,1449,0,1463,0.9904,1.0000
углерод и сера,1455,0,1463,0.9945,1.0000
углерод и галогены,1451,0,1463,0.9918,1.0000
"углерод, сера, фтор",1461,0,1463,0.9986,1.0000
"углерод, сера, хлор",1455,0,1463,0.9945,1.0000
"углерод, сера, галогены",1463,0,1463,1.0000,1.0000
любой тяжёлый атом,1463,643,1463,1.0000,0.6947
