rule,reproduced,extra,reference_total,recall,precision
любой углерод,20476,0,21474,0.9535,1.0000
углерод и сера,20700,0,21474,0.9640,1.0000
углерод и галогены,21180,0,21474,0.9863,1.0000
"углерод, сера, фтор",20786,0,21474,0.9680,1.0000
"углерод, сера, хлор",21069,0,21474,0.9811,1.0000
"углерод, сера, галогены",21474,0,21474,1.0000,1.0000
любой тяжёлый атом,21474,6043,21474,1.0000,0.7804
