rule,reproduced,extra,reference_total,recall,precision
любой углерод,597,0,627,0.9522,1.0000
углерод и сера,602,0,627,0.9601,1.0000
углерод и галогены,621,0,627,0.9904,1.0000
"углерод, сера, фтор",603,0,627,0.9617,1.0000
"углерод, сера, хлор",609,0,627,0.9713,1.0000
"углерод, сера, галогены",627,0,627,1.0000,1.0000
любой тяжёлый атом,627,189,627,1.0000,0.7684
