mol_id,stage,reason
2026-09-18-5lvo-s0-n100-0001,sanitize,AtomValenceException
2026-09-18-5lvo-s0-n100-0007,sanitize,AtomValenceException
2026-09-18-5lvo-s0-n100-0051,sanitize,AtomValenceException
2026-09-18-5lvo-s0-n100-0091,sanitize,AtomValenceException
2026-09-18-5lvo-s0-n100-0097,sanitize,AtomValenceException
